open_time,open,high,low,close,volume
1776024000000,4693.25,4694.25,4629.36,4655.92,2981.5199
1776038400000,4656.0,4707.27,4649.8,4700.0,1160.9608
1776052800000,4699.81,4719.93,4688.83,4715.4,640.7882
1776067200000,4715.41,4719.6,4687.45,4690.81,1645.8426
1776081600000,4690.57,4728.41,4682.0,4696.6,4457.8068
1776096000000,4696.74,4733.26,4692.7,4726.99,1311.3241
1776110400000,4726.98,4750.84,4721.09,4741.09,1142.3797
1776124800000,4741.09,4761.76,4735.67,4751.55,606.5997
1776139200000,4751.47,4781.35,4741.57,4762.4,664.5015
1776153600000,4762.39,4773.0,4739.99,4759.38,841.5894
1776168000000,4759.21,4800.66,4748.64,4792.68,1793.9778
1776182400000,4792.86,4839.06,4791.07,4837.41,8301.7515
1776196800000,4837.32,4840.0,4817.99,4827.05,574.4303
1776211200000,4827.31,4861.14,4809.95,4815.81,1195.6853
1776225600000,4815.81,4821.22,4796.4,4801.5,618.5983
1776240000000,4801.49,4811.75,4780.0,4805.28,1097.9811
1776254400000,4805.28,4823.0,4782.0,4794.47,1053.9181
1776268800000,4794.47,4803.19,4784.0,4787.91,291.1086
1776283200000,4787.91,4814.21,4779.44,4810.84,1579.5546
1776297600000,4810.85,4824.43,4800.4,4810.98,1186.7715
1776312000000,4810.99,4825.0,4803.87,4808.98,583.0709
1776326400000,4808.97,4810.0,4795.45,4809.99,318.5308
1776340800000,4810.0,4812.29,4766.2,4797.0,1228.4985
1776355200000,4796.83,4798.27,4769.21,4782.61,989.641
1776369600000,4782.61,4783.44,4747.2,4775.61,2860.2921
1776384000000,4775.4,4783.59,4753.34,4775.01,1638.1061
1776398400000,4775.02,4790.0,4766.02,4770.35,342.7455
1776412800000,4770.31,4793.94,4767.91,4785.1,481.8725
1776427200000,4785.3,4872.86,4783.87,4850.29,4874.7495
1776441600000,4850.32,4856.46,4835.41,4836.86,894.9763
1776456000000,4836.85,4836.85,4814.33,4820.59,490.4142
1776470400000,4820.58,4831.9,4811.35,4814.51,386.7183
1776484800000,4814.51,4817.98,4808.63,4809.02,381.8945
1776499200000,4809.02,4811.15,4792.03,4792.98,470.3798
1776513600000,4792.97,4798.07,4785.31,4792.81,334.5551
1776528000000,4792.82,4798.62,4774.79,4786.67,825.7341
1776542400000,4787.09,4791.23,4775.11,4775.26,327.6879
1776556800000,4775.26,4783.96,4766.0,4779.02,507.6174
1776571200000,4778.9,4792.46,4769.43,4781.2,327.741
1776585600000,4781.19,4785.66,4774.24,4781.51,306.966
1776600000000,4781.5,4795.56,4778.91,4791.63,376.4585
1776614400000,4791.63,4797.84,4776.72,4782.46,462.8571
1776628800000,4782.45,4782.45,4726.74,4740.0,1793.3229
1776643200000,4739.99,4795.0,4730.26,4774.26,969.8206
1776657600000,4774.26,4790.0,4761.34,4774.31,272.4383
1776672000000,4773.97,4794.73,4771.61,4794.73,231.5497
1776686400000,4794.65,4809.88,4777.9,4785.18,729.3741
1776700800000,4785.18,4805.57,4779.63,4797.54,5086.8415
1776715200000,4797.54,4815.52,4797.42,4806.48,432.4691
1776729600000,4806.48,4814.44,4778.12,4781.96,350.4648
1776744000000,4781.96,4782.55,4761.28,4772.16,552.5585
1776758400000,4772.55,4784.79,4763.96,4782.0,383.1574
1776772800000,4782.01,4784.11,4715.85,4730.87,2359.5316
1776787200000,4731.0,4736.0,4660.01,4670.68,1563.8369
1776801600000,4670.67,4730.0,4656.71,4728.0,875.9213
1776816000000,4728.6,4751.11,4724.4,4745.81,700.2647
1776830400000,4745.81,4758.99,4740.01,4748.64,542.3775
1776844800000,4748.65,4750.7,4735.34,4737.61,1200.6208
1776859200000,4737.61,4745.8,4712.79,4714.8,1570.2106
1776873600000,4714.57,4735.34,4710.0,4727.16,475.5663
1776888000000,4727.16,4732.19,4710.18,4713.8,334.6038
1776902400000,4713.8,4737.59,4681.53,4690.12,1066.4647
1776916800000,4690.12,4707.19,4679.48,4707.09,282.2075
1776931200000,4706.06,4710.68,4673.23,4707.9,338.3353
1776945600000,4707.9,4728.69,4705.46,4708.62,622.0137
1776960000000,4708.98,4723.68,4657.87,4686.12,1127.4375
1776974400000,4685.94,4692.84,4677.66,4684.89,303.9774
1776988800000,4685.1,4699.16,4660.78,4662.85,433.4012
1777003200000,4663.3,4684.2,4651.5,4683.83,509.3474
1777017600000,4683.83,4706.39,4666.73,4696.38,469.8344
1777032000000,4696.38,4726.0,4680.93,4714.31,1169.6283
1777046400000,4714.5,4717.35,4702.81,4705.08,239.978
1777060800000,4704.42,4704.83,4692.08,4696.12,170.9924
